# 本 snapshot 產生於 commit 482bacf（161 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
# 產生時 §11.1 待決項為 53 項。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [已修] 4. 原文摺疊區「未提供逐字原文」
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [已修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# K／Y 僅呈現多軌材料，未把空亡、沖散或四神判語應用為效果語義。
case_index,hexagram_id,hexagram_name,lines,moving_mask,moving_positions,moving_count_expected,moving_count_actual,changed_lines_complete,hidden_count,failed_checks,placeholder_checks,exception_type,exception_message,result_class
278,5,風地觀,000011,21,1|3|5,3,3,true,2,,,,,normal
279,5,風地觀,000011,22,2|3|5,3,3,true,2,,,,,normal
280,5,風地觀,000011,23,1|2|3|5,4,4,true,2,,,,,normal
281,5,風地觀,000011,24,4|5,2,2,true,2,,,,,normal
282,5,風地觀,000011,25,1|4|5,3,3,true,2,,,,,normal
283,5,風地觀,000011,26,2|4|5,3,3,true,2,,,,,normal
284,5,風地觀,000011,27,1|2|4|5,4,4,true,2,,,,,normal
285,5,風地觀,000011,28,3|4|5,3,3,true,2,,,,,normal
286,5,風地觀,000011,29,1|3|4|5,4,4,true,2,,,,,normal
287,5,風地觀,000011,30,2|3|4|5,4,4,true,2,,,,,normal
288,5,風地觀,000011,31,1|2|3|4|5,5,5,true,2,,,,,normal
289,5,風地觀,000011,32,6,1,1,true,2,,,,,normal
290,5,風地觀,000011,33,1|6,2,2,true,2,,,,,normal
291,5,風地觀,000011,34,2|6,2,2,true,2,,,,,normal
292,5,風地觀,000011,35,1|2|6,3,3,true,2,,,,,normal
293,5,風地觀,000011,36,3|6,2,2,true,2,,,,,normal
294,5,風地觀,000011,37,1|3|6,3,3,true,2,,,,,normal
295,5,風地觀,000011,38,2|3|6,3,3,true,2,,,,,normal
296,5,風地觀,000011,39,1|2|3|6,4,4,true,2,,,,,normal
297,5,風地觀,000011,40,4|6,2,2,true,2,,,,,normal
298,5,風地觀,000011,41,1|4|6,3,3,true,2,,,,,normal
299,5,風地觀,000011,42,2|4|6,3,3,true,2,,,,,normal
300,5,風地觀,000011,43,1|2|4|6,4,4,true,2,,,,,normal
301,5,風地觀,000011,44,3|4|6,3,3,true,2,,,,,normal
302,5,風地觀,000011,45,1|3|4|6,4,4,true,2,,,,,normal
303,5,風地觀,000011,46,2|3|4|6,4,4,true,2,,,,,normal
304,5,風地觀,000011,47,1|2|3|4|6,5,5,true,2,,,,,normal
305,5,風地觀,000011,48,5|6,2,2,true,2,,,,,normal
306,5,風地觀,000011,49,1|5|6,3,3,true,2,,,,,normal
307,5,風地觀,000011,50,2|5|6,3,3,true,2,,,,,normal
308,5,風地觀,000011,51,1|2|5|6,4,4,true,2,,,,,normal
309,5,風地觀,000011,52,3|5|6,3,3,true,2,,,,,normal
310,5,風地觀,000011,53,1|3|5|6,4,4,true,2,,,,,normal
311,5,風地觀,000011,54,2|3|5|6,4,4,true,2,,,,,normal
312,5,風地觀,000011,55,1|2|3|5|6,5,5,true,2,,,,,normal
313,5,風地觀,000011,56,4|5|6,3,3,true,2,,,,,normal
